code;description;description_additional
8340/3;Carcinoma papilar, variante folicular;Adenocarcinoma papilar y folicular (C73.9) Adenocarcinoma papilar, variante folicular (C73.9) Carcinoma papilar y folicular (C73.9)
8340/6;Carcinoma papilar, variante folicular, metástasis;
8341/3;Microcarcinoma papilar;
8341/6;Microcarcinoma papilar, metástasis;
8342/3;Carcinoma papilar de células oxífilas;
8342/6;Carcinoma papilar de células oxífilas, metástasis;
8343/3;Carcinoma papilar encapsulado;
8343/6;Carcinoma papilar encapsulado, metástasis;
8344/3;Carcinoma papilar de células columnares;Carcinoma papilar, células altas (C73.9)
8344/6;Carcinoma papilar de células columnares, metástasis;
8345/3;Carcinoma medular con estroma amiloide;Carcinoma de células C (C73.9) Carcinoma de células parafoliculares (C73.9)
8345/6;Carcinoma medular con estroma amiloide, metástasis;
8346/3;Carcinoma mixto medular-folicular;
8346/6;Carcinoma mixto medular-folicular, metástasis;
8347/3;Carcinoma mixto medular-papilar;
8347/6;Carcinoma mixto medular-papilar, metástasis;
8350/3;Carcinoma esclerosante no encapsulado;Adenocarcinoma esclerosante no encapsulado (C73.9) Tumor esclerosante no encapsulado (C73.9) Carcinoma papilar, esclerosante difuso (C73.9)
8350/6;Carcinoma esclerosante no encapsulado, metástasis;
8360/1;Adenomas endocrinos múltiples;Adenomatosis endocrina
8361/0;Tumor yuxtaglomerular;Reninoma (C64.9)
8370/0;Adenoma de la corteza suprarrenal, SAI;Tumor de la corteza suprarrenal, benigno (C74.0) Tumor de la corteza suprarrenal, SAI (C74.0)
8370/3;Carcinoma de la corteza suprarrenal;Adenocarcinoma de la corteza suprarrenal (C74.0) Tumor de la corteza suprarrenal, maligno (C74.0)
8370/6;Carcinoma de la corteza suprarrenal, metástasis;
8371/0;Adenoma de la corteza suprarrenal de células compactas;
8372/0;Adenoma de la corteza suprarrenal, pigmentado;Adenoma negro (C74.0) Adenoma pigmentado (C74.0)
8373/0;Adenoma de la corteza suprarrenal de células claras;
8374/0;Adenoma de la corteza suprarrenal de células de la glomerulosa;
8375/0;Adenoma de la corteza suprarrenal de tipo celular mixto;
8380/0;Adenoma endometrioide, SAI;Cistadenoma endometrioide, SAI
8380/1;Adenoma endometrioide de malignidad borderline;Cistadenoma endometrioide, malignidad limítrofe (borderline) Tumor endometrioide de bajo potencial maligno Tumor endometrioide proliferativo atípico
8380/3;Adenocarcinoma endometrioide, SAI;Carcinoma endometrioide, SAI Cistadenocarcinoma endometrioide
8380/6;Adenocarcinoma endometrioide, SAI, metástasis;
8381/0;Adenofibroma endometrioide, SAI;Cistadenofibroma endometrioide, SAI
8381/1;Adenofibroma endometrioide de malignidad borderline;Cistadenofibroma endometrioide, malignidad limítrofe (borderline)
8381/3;Adenofibroma endometrioide maligno;Cistadenofibroma endometrioide, maligno
8381/6;Adenofibroma endometrioide maligno, metástasis;
8382/3;Adenocarcinoma endometrioide, variante secretora;
8382/6;Adenocarcinoma endometrioide, variante secretora, metástasis;
8383/3;Adenocarcinoma endometrioide, variante de células ciliadas;
8383/6;Adenocarcinoma endometrioide, variante de células ciliadas, metástasis;
8384/3;Adenocarcinoma, tipo endocervical;
8384/6;Adenocarcinoma, tipo endocervical, metástasis;
8390/0;Adenoma de los anexos cutáneos;Tumor de los anexos cutáneos, benigno (C44._) Tumor del apéndice de la piel, benigno (C44._)
8390/3;Carcinoma de los anexos cutáneos;Carcinoma de los anexos (C44._)
8390/6;Carcinoma de los anexos cutáneos, metástasis;
8391/0;Fibroma folicular;Fibrofoliculoma (C44._) Fibroma perifolicular (C44._) Tricodiscoma (C44._)
8392/0;Siringofibroadenoma;
8400/0;Adenoma de las glándulas sudoríparas;Hidradenoma, SAI (C44._) Siringoadenoma, SAI (C44._) Tumor de las glándulas sudoríparas, benigno (C44._)
8400/1;Tumor de las glándulas sudoríparas, SAI;
8400/3;Adenocarcinoma de las glándulas sudoríparas;Carcinoma de las glándulas sudoríparas (C44._) Tumor de las glándulas sudoríparas, maligno C44._)
8400/6;Adenocarcinoma de las glándulas sudoríparas, metástasis;
8401/0;Adenoma apocrino;Cistadenoma apocrino
8401/3;Adenocarcinoma apocrino;
8401/6;Adenocarcinoma apocrino, metástasis;
8402/0;Hidradenoma nodular;Acrospiroma ecrino (C.44._) Hidradenoma de células claras (C44._)
8402/3;Hidradenoma nodular maligno;Hidradenocarcinoma (C44._)
8402/6;Hidradenoma nodular maligno, metástasis;
8403/0;Espiradenoma ecrino;Espiradenoma, SAI (C44._)
8403/3;Espiradenoma ecrino maligno;
8403/6;Espiradenoma ecrino maligno, metástasis;
8404/0;Hidrocistoma;Cistadenoma ecrino (C44._)
8405/0;Hidradenoma papilar;Hidradenoma papilífero
8406/0;Siringoadenoma papilar;Siringocistadenoma papilar (C44._) Siringocistadenoma papilífero
8407/0;Siringoma, SAI;
8407/3;Carcinoma esclerosante de conductos sudoríparos;Carcinoma microquístico de los anexos (C44._) Carcinoma siringomatoso (C44._)
8407/6;Carcinoma esclerosante de conductos sudoríparos, metástasis;
8408/0;Adenoma papilar ecrino;
8408/1;Adenoma papilar digital agresivo;
8408/3;Adenocarcinoma papilar ecrino;Adenocarcinoma papilar digital (C44._)
8408/6;Adenocarcinoma papilar ecrino, metástasis;
8409/0;Poroma ecrino;
8409/3;Poroma ecrino maligno;Porocarcinoma (C44._)
8409/6;Poroma ecrino maligno, metástasis;
8410/0;Adenoma sebáceo;Epitelioma sebáceo (C44._)
8410/3;Adenocarcinoma sebáceo;Carcinoma sebáceo (C44._)
8410/6;Adenocarcinoma sebáceo, metástasis;
8413/3;Adenocarcinoma ecrino;
8413/6;Adenocarcinoma ecrino, metástasis;
8420/0;Adenoma ceruminoso;
8420/3;Adenocarcinoma ceruminoso;Carcinoma ceruminoso (C44.2)
8420/6;Adenocarcinoma ceruminoso, metástasis;
8430/1;Tumor mucoepidermoide;
8430/3;Carcinoma mucoepidermoide;
8430/6;Carcinoma mucoepidermoide, metástasis;
8440/0;Cistadenoma, SAI;Cistoma, SAI
8440/3;Cistadenocarcinoma, SAI;
8440/6;Cistadenocarcinoma, SAI, metástasis;
8441/0;Cistadenoma seroso, SAI;Cistoma seroso Adenoma microquístico seroso
8441/3;Cistadenocarcinoma seroso, SAI;Adenocarcinoma seroso, SAI Carcinoma seroso, SAI
8441/6;Cistadenocarcinoma seroso, SAI, metástasis;
8442/1;Cistadenoma seroso de malignidad borderline;Tumor seroso proliferativo atípico (C56.9) Tumor seroso, SAI, de bajo potencial maligno (C56.9)
8443/0;Cistadenoma de células claras;
8444/1;Tumor quístico de células claras de malignidad borderline;Tumor proliferativo atípico de células claras (C56.9)
8450/0;Cistadenoma papilar, SAI;
8450/3;Cistadenocarcinoma papilar, SAI;Adenocarcinoma papiloquístico
8450/6;Cistadenocarcinoma papilar, SAI, metástasis;
8451/1;Cistadenoma papilar de malignidad borderline;
8452/1;Tumor seudopapilar sólido;Neoplasia epitelial sólida y papilar (C25._) Tumor quístico papilar (C25._) Tumor sólido y quístico (C25._)
8452/3;Carcinoma seudopapilar sólido;
8452/6;Carcinoma seudopapilar sólido, metástasis;
8453/0;Adenoma intraductal papilar-mucinoso;
8453/2;Adenoma intraductal papilar-mucinoso no invasivo;
8453/3;Adenoma intraductal papilar-mucinoso invasivo;
8453/6;Adenoma intraductal papilar-mucinoso invasivo, metástasis;
8454/0;Tumor quístico del nodo auriculoventricular;
8460/0;Cistadenoma seroso papilar, SAI;
8460/3;Cistadenocarcinoma seroso papilar;Adenocarcinoma seroso papilar (C56.9) Carcinoma seroso micropapilar (C56.9)
8460/6;Cistadenocarcinoma seroso papilar, metástasis;
8461/0;Papiloma de superficie serosa;
8461/3;Carcinoma papilar de superficie serosa;Carcinoma papilar seroso primario del peritoneo (C48.1)
8461/6;Carcinoma papilar de superficie serosa, metástasis;
8462/1;Tumor quístico papilar seroso de malignidad borderline;Cistadenoma seroso papilar, malignidad limítrofe (borderline) (C56.9) Tumor seroso papilar de bajo potencial maligno (C56.9) Tumor seroso papilar proliferativo atípico (C56.9)
8463/1;Tumor papilar de superficie serosa de malignidad borderline;
8470/0;Cistadenoma mucinoso, SAI;Cistadenoma seudomucinoso, SAI (C56.9) Cistoma mucinoso (C56.9)
8470/2;Cistadenocarcinoma mucinoso no invasivo;
8470/3;Cistadenocarcinoma mucinoso, SAI;Adenocarcinoma seudomucinoso (C56.9) Cistadenocarcinoma seudomucinoso, SAI (C56.9)
8470/6;Cistadenocarcinoma mucinoso, SAI, metástasis;
8471/0;Cistadenoma mucinoso papilar, SAI;Cistadenoma seudomucinoso papilar, SAI (C56.9)
8471/3;Cistadenocarcinoma mucinoso papilar;Cistadenocarcinoma seudomucinoso papilar (C56.9)
8471/6;Cistadenocarcinoma mucinoso papilar, metástasis;
8472/1;Tumor quístico mucinoso de malignidad borderline;Cistadenoma mucinoso, malignidad limítrofe (borderline) (C56.9) Cistadenoma seudomucinoso, malignidad limítrofe (borderline) (C56.9) Tumor mucinoso proliferativo atípico (C56.9) Tumor mucinoso, SAI, de bajo potencial maligno (C56.9)
8473/1;Cistadenoma mucinoso papilar de malignidad borderline;Cistadenoma seudomucinoso papilar, malignidad limítrofe (borderline) (C56.9) Tumor mucinoso papilar de bajo potencial maligno (C56.9)
8480/0;Adenoma mucinoso;
8480/1;Neoplasia mucinosa apendicular de bajo grado;
8480/3;Adenocarcinoma mucinoso;Adenocarcinoma coloide Adenocarcinoma gelatinoso [obs] Adenocarcinoma mucoide Adenocarcinoma mucoso Carcinoma coloide Carcinoma gelatinoso [obs] Carcinoma mucinoso Carcinoma mucoide Carcinoma mucoso Seudomixoma del peritoneo con sitio primario desconocido (C80.9)
8480/6;Pseudomixoma peritoneal;
8481/3;Adenocarcinoma productor de mucina;Adenocarcinoma secretor de mucina Carcinoma productor de mucina Carcinoma secretor de mucina
8481/6;Adenocarcinoma productor de mucina, metástasis;
8482/3;Adenocarcinoma mucinoso, tipo endocervical;
8482/6;Adenocarcinoma mucinoso, tipo endocervical, metástasis;
8490/3;Carcinoma de células en anillo de sello;Adenocarcinoma de células en anillo de sello
8490/6;Carcinoma metastásico de células en anillo de sello;Tumor de Krukenberg
8500/2;Carcinoma intraductal no infiltrante, SAI;Adenocarcinoma intraductal, no infiltrante, SAI Carcinoma intraductal , SAI Carcinoma ductal in situ, SAI (C50._) CDIS (DCIS), SAI (C50._) Neoplasia intraepitelial ductal 3 (C50._) NID 3 (C50._) (DIN 3)
8500/3;Carcinoma ductal infiltrante, SAI;Adenocarcinoma del conducto, SAI Adenocarcinoma infiltrante del conducto, (C50._) Carcinoma de células ductales Carcinoma del conducto, SAI Carcinoma ductal, SAI
8500/6;Carcinoma ductal infiltrante, SAI, metástasis;
8501/2;Comedocarcinoma no infiltrante;Carcinoma ductal in situ, tipo comedón (C50._) CDIS (DCIS), tipo comedón (C50._)
8501/3;Comedocarcinoma, SAI;
8501/6;Comedocarcinoma, SAI, metástasis;
8502/3;Carcinoma juvenil de la mama;Carcinoma juvenil de la mama (C50._)
8502/6;Carcinoma juvenil de la mama, metástasis;
8503/0;Papiloma intraductal;Adenoma ductal, SAI Papiloma ductal
8503/2;Adenocarcinoma papilar intraductal no infiltrante;Adenocarcinoma papilar intraductal, SAI (C50._) Carcinoma ductal in situ, papilar (C50._) CDIS (DCIS) papilar (C50._) Carcinoma papilar intraductal no infiltrante (C50._) Carcinoma papilar intraductal, SAI (C50._)
8503/3;Adenocarcinoma papilar intraductal con invasión;Adenocarcinoma papilar infiltrante Adenocarcinoma infiltrante y papilar
8503/6;Adenocarcinoma papilar intraductal con invasión, metástasis;
8504/0;Adenoma papilar intraquístico;Papiloma intraquístico
8504/2;Carcinoma intraquístico no infiltrante;
8504/3;Carcinoma intraquístico, SAI;Adenocarcinoma intraquístico, papilar
8504/6;Carcinoma intraquístico, SAI, metástasis;
8505/0;Papilomatosis intraductal, SAI;Papilomatosis intraductal difusa
8506/0;Adenoma del pezón;Papilomatosis del conducto subareolar (C50.0)
8507/2;Carcinoma micropapilar intraductal;Carcinoma ductal in situ, micropapilar (C50._) Carcinoma intraductal, adherente (C50._)
8508/3;Carcinoma hipersecretor quístico;
8508/6;Carcinoma hipersecretor quístico, metástasis;
8510/3;Carcinoma medular, SAI;Adenocarcinoma medular
8510/6;Carcinoma medular, SAI, metástasis;
8512/3;Carcinoma medular con estroma linfoide;
8512/6;Carcinoma medular con estroma linfoide, metástasis;
8513/3;Carcinoma medular atípico;
8513/6;Carcinoma medular atípico, metástasis;
8514/3;Carcinoma ductal, tipo desmoplásico;
8514/6;Carcinoma ductal, tipo desmoplásico, metástasis;
8520/2;Carcinoma lobulillar in situ, SAI;Carcinoma lobular, no infiltrante (C50._) CLIS (LCIS), SAI (C50._)
8520/3;Carcinoma lobulillar, SAI;Adenocarcinoma lobular (C50._) Carcinoma lobular infiltrante, SAI (C50._)
8520/6;Carcinoma lobulillar, SAI, metástasis;
8521/3;Carcinoma de los conductos terminales, infiltrante;
8521/6;Carcinoma de los conductos terminales, infiltrante, metástasis;
8522/2;Carcinoma intraductal y carcinoma lobulillar in situ;
8522/3;Carcinoma ductal y lobulillar infiltrante;Carcinoma lobular y ductal (C50._) Carcinoma ductal lobular e infiltrante in situ (C50._) Carcinoma intraductal y lobular (C50._) Carcinoma lobular infiltrante y carcinoma ductal in situ (C50._)
8522/6;Carcinoma ductal y lobulillar infiltrante, metástasis;
8523/3;Carcinoma ductal infiltrante mezclado con otros tipos de carcinoma;Carcinoma ductal y coloide infiltrante (C50._) Carcinoma ductal y cribiforme infiltrante (C50._) Carcinoma ductal y mucinoso infiltrante (C50._) Carcinoma ductal y tubular infiltrante (C50._)
8523/6;Carcinoma ductal infiltrante mezclado con otros tipos de carcinoma, metástasis;
8524/3;Carcinoma lobulillar infiltrante mezclado con otros tipos de carcinoma;
8524/6;Carcinoma lobulillar infiltrante mezclado con otros tipos de carcinoma, metástasis;
8525/3;Adenocarcinoma polimorfo de bajo grado;Adenocarcinoma del conducto terminal
8525/6;Adenocarcinoma polimorfo de bajo grado, metástasis;
8530/3;Carcinoma inflamatorio;Adenocarcinoma inflamatorio (C50._)
8530/6;Carcinoma inflamatorio, metástasis;
8540/3;Enfermedad de Paget, mamaria;Enfermedad de Paget de la mama (C50._)
8540/6;Enfermedad de Paget, mamaria, metástasis;
8541/3;Enfermedad de Paget y carcinoma ductal infiltrante de la mama;
8541/6;Enfermedad de Paget y carcinoma ductal infiltrante de la mama, metástasis;
8542/3;Enfermedad de Paget extramamaria;(excepto enfermedad de Paget del hueso)
8542/6;Enfermedad de Paget extramamaria, metástasis;
8543/3;Enfermedad de Paget y carcinoma intraductal de la mama;
8543/6;Enfermedad de Paget y carcinoma intraductal de la mama, metástasis;
8550/0;Adenoma de células acinosas;Adenoma acinar Adenoma de células acínicas
8550/1;Tumor de células acinosas;Tumor de células acínicas [obs]
8550/3;Carcinoma de células acinosas;Adenocarcinoma acinar Adenocarcinoma de células acínicas Carcinoma acinar
8550/6;Carcinoma de células acinosas, metástasis;
8551/3;Cistadenocarcinoma células acinares;
8551/6;Cistadenocarcinoma células acinares, metástasis;
8552/3;Carcinoma acinar-ductal mixto;
8552/6;Carcinoma acinar-ductal mixto, metástasis;
8560/0;Papiloma mixto de células escamosas y glandular;
8560/3;Carcinoma adenoescamoso;Adenocarcinoma mixto y carcinoma de células escamosas Adenocarcinoma mixto y carcinoma epidermoide
8560/6;Carcinoma adenoescamoso, metástasis;
8561/0;Adenolinfoma;Cistadenoma papilar linfomatoso (C07._, C08._) Tumor de Warthin (C07._, C08._) 
8562/3;Carcinoma epitelial-mioepitelial;
8562/6;Carcinoma epitelial-mioepitelial, metástasis;
8570/3;Adenocarcinoma con metaplasia escamosa;Adenoacantoma
8570/6;Adenocarcinoma con metaplasia escamosa, metástasis;
8571/3;Adenocarcinoma con metaplasia ósea y cartilaginosa;Adenocarcinoma con metaplasia cartilaginosa Adenocarcinoma con metaplasia ósea
8571/6;Adenocarcinoma con metaplasia ósea y cartilaginosa, metástasis;
8572/3;Adenocarcinoma con metaplasia de células fusiformes;
8572/6;Adenocarcinoma con metaplasia de células fusiformes, metástasis;
8573/3;Adenocarcinoma con metaplasia apocrina;Carcinoma con metaplasia apocrina
8573/6;Adenocarcinoma con metaplasia apocrina, metástasis;
8574/3;Adenocarcinoma con diferenciación neuroendocrina;Carcinoma con diferenciación neuroendocrina
8574/6;Adenocarcinoma con diferenciación neuroendocrina, metástasis;
8575/3;Carcinoma metaplásico, SAI;
8575/6;Carcinoma metaplásico, SAI, metástasis;
8576/3;Adenocarcinoma hepatoide;Carcinoma hepatoide
8576/6;Adenocarcinoma hepatoide, metástasis;
8580/0;Timoma benigno;
8580/1;Timoma, SAI;
8580/3;Timoma maligno, SAI;
8580/6;Timoma maligno, SAI, metástasis;
8581/1;Timoma tipo A, SAI;Timoma, células fusiformes, SAI (C37.9) Timoma, medular, SAI (C37.9)
8581/3;Timoma tipo A maligno;Timoma, células fusiformes, maligno (C37.9) Timoma, medular maligno (C37.9)
8581/6;Timoma tipo A maligno, metástasis;
8582/1;Timoma tipo AB, SAI;Timoma, tipo mixto, SAI (C37.9)
8582/3;Timoma tipo AB maligno;Timoma, tipo mixto, maligno (C37.9)
8582/6;Timoma tipo AB maligno, metástasis;
8583/1;Timoma tipo B1, SAI;Timoma, linfocítico, SAI (C37.9) Timoma, organoide, SAI (C37.9) Timoma, predominantemente cortical, SAI (C37.9) Timoma, rico en linfocitos, SAI (C37.9)
8583/3;Timoma tipo B1 maligno;Timoma, linfocítico, maligno, (C37.9) Timoma, organoide, maligno, (C37.9) Timoma, predominantemente cortical, maligno (C37.9) Timoma, rico en linfocitos, maligno, (C37.9)
8583/6;Timoma tipo B1 maligno, metástasis;
8584/1;Timoma tipo B2, SAI;Timoma, cortical, SAI (C37.9)
8584/3;Timoma tipo B2 maligno;Timoma, cortical, maligno (C37.9)
8584/6;Timoma tipo B2 maligno, metástasis;
8585/1;Timoma tipo B3, SAI;Timoma, atípico, SAI (C37.9) Timoma, epitelial, SAI (C37.9)
8585/3;Timoma tipo B3, maligno;Carcinoma tímico bien diferenciado (C37.9) Timoma, atípico, maligno (C37.9) Timoma, epitelial, maligno (C37.9)
8585/6;Timoma tipo B3, maligno, metástasis;
8586/3;Carcinoma tímico, SAI;Timoma, tipo C (C37.9)
8586/6;Carcinoma tímico, SAI, metástasis;
8587/0;Timoma hamartomatoso ectópico;
8588/3;Tumor epitelial fusiforme con elemento de tipo tímico;Tumor epitelial fusiforme con diferenciación semejante al timo TEFDST (SETTLE)
8588/6;Tumor epitelial fusiforme con elemento de tipo tímico, metástasis;
8589/3;Carcinoma que muestra elemento de tipo tímico;Carcinoma con diferenciación semejante al timo CDST (CASTLE)
8589/6;Carcinoma que muestra elemento de tipo tímico, metástasis;
8590/1;Tumor de los cordones sexuales y del estroma gonadal, SAI;Tumor de los cordones sexuales, SAI Tumor del estroma del ovario (C56.9) Tumor del estroma gonadal, SAI Tumor del estroma testicular (C62._)
8591/1;Tumor de cordones sexuales y estroma gonadal, incompletamente diferenciado;
8592/1;Tumor de cordones sexuales y estroma gonadal, formas mixtas;
8593/1;Tumor de estroma con elementos menores de cordones sexuales;
8600/0;Tecoma, SAI;Tumor de células de la teca (C56.9)
8600/3;Tecoma maligno;
8600/6;Tecoma maligno, metástasis;
8601/0;Tecoma luteinizado;
8602/0;Tumor esclerosante del estroma;
8610/0;Luteoma, SAI;Luteinoma (C56.9)
8620/1;Tumor de células de la granulosa, tipo adulto;Tumor de células de la granulosa, SAI (C56.9)
8620/3;Tumor maligno de células de la granulosa;Carcinoma de células de la granulosa (C56.9) Tumor de células de la granulosa, sarcomatoide (C56.9)
8620/6;Tumor maligno de células de la granulosa, metástasis;
8621/1;Tumor de células de la granulosa y de la teca;Tumor de células de la granulosa-células de la teca (C56.9)
8622/1;Tumor de células de la granulosa juvenil;
8623/1;Tumor de los cordones sexuales con túbulos anulares;
8630/0;Androblastoma benigno;Arrenoblastoma, benigno
8630/1;Androblastoma, SAI;Arrenoblastoma, SAI
8630/3;Androblastoma maligno;Arrenoblastoma, maligno
8630/6;Androblastoma maligno, metástasis;
8631/0;Tumor de células de Sertoli-Leydig, bien diferenciado;
8631/1;Tumor de células de Sertoli-Leydig de diferenciación intermedia;Tumor de células de Sertoli-Leydig, SAI
8631/3;Tumor de células de Sertoli-Leydig, mal diferenciado;Tumor de células de Sertoli-Leydig, sarcomatoide
8631/6;Tumor de células de Sertoli-Leydig, mal diferenciado, metástasis;
8632/1;Ginandroblastoma;
8633/1;Tumor de células de Sertoli-Leydig, retiforme;
8634/1;Tumor de células de Sertoli-Leydig, diferenciación intermedia, con elementos heterólogos;Tumor de células de Sertoli-Leydig, retiforme, con elementos heterólogos
8634/3;Tumor de células de Sertoli-Leydig, mal diferenciado, con elementos heterólogos;
8634/6;Tumor de células de Sertoli-Leydig, mal diferenciado, con elementos heterólogos, metástasis;
8640/1;Tumor de células de Sertoli, SAI;Adenoma de células de Sertoli Adenoma testicular Adenoma tubular de Pick Androblastoma tubular, SAI
8640/3;Carcinoma de células de Sertoli;
8640/6;Carcinoma de células de Sertoli, metástasis;
8641/0;Tumor de células de Sertoli con depósito de lípidos;Androblastoma tubular con depósito de lípidos (C56.9) Foliculoma lipídico (C56.9) Tumor de células de Sertoli ricas en lípidos (C56.9)
8642/1;Tumor de células de Sertoli calcificante de células grandes;
8650/0;Tumor benigno de células de Leydig;Tumor de células intersticiales, benigno
8650/1;Tumor de células de Leydig, SAI;Tumor de células intersticiales, SAI
8650/3;Tumor maligno de células de Leydig;Tumor de células intersticiales, maligno
8650/6;Tumor maligno de células de Leydig, metástasis;
8660/0;Tumor de células del hilio;Tumor de células hiliares (C56.9)
8670/0;Tumor de células lipídicas del ovario;Tumor de células esteroides, SAI Tumor de células lipoides del ovario (C56.9) Masculinovoblastoma (C56.9)
8670/3;Tumor de células esteroideas, maligno;
8670/6;Tumor de células esteroideas, maligno, metástasis;
8671/0;Tumor de restos suprarrenales;
8680/0;Paraganglioma, benigno;
8680/1;Paraganglioma, SAI;
8680/3;Paraganglioma maligno;
8680/6;Paraganglioma maligno, metástasis;
8681/1;Paraganglioma simpático;
8682/1;Paraganglioma parasimpático;
8683/0;Paraganglioma gangliocítico;
8690/1;Tumor del corpúsculo yugular;Paraganglioma yugular (C75.5) Paraganglioma yugulotimpánico (C75.5)
8691/1;Tumor del corpúsculo aórtico;Paraganglioma aorticopulmonar (C75.5) Paraganglioma del cuerpo aórtico (C75.5)
8692/1;Tumor del cuerpo carotídeo;Paraganglioma del cuerpo carotídeo (C75.4)
8693/1;Paraganglioma extrasuprarrenal, SAI;Paraganglioma no cromafín, SAI Quimiodectoma
8693/3;Paraganglioma maligno extrasuprarrenal;Paraganglioma no cromafín, maligno
8693/6;Paraganglioma maligno extrasuprarrenal, metástasis;
8700/0;Feocromocitoma, SAI;Cromafinoma Paraganglioma cromafín Paraganglioma medular suprarrenal (C74.1) Tumor cromafín
8700/3;Feocromocitoma maligno;Feocromoblastoma (C74.1) Paraganglioma medular suprarrenal, maligno (C74.1)
8700/6;Feocromocitoma maligno, metástasis;
8710/3;Glomangiosarcoma;Sarcoma glomoide
8710/6;Glomangiosarcoma, metástasis;
8711/0;Tumor glómico, SAI;
8711/3;Tumor de glomus, maligno;
8711/6;Tumor de glomus, maligno, metástasis;
8712/0;Glomangioma;
8713/0;Glomangiomioma;
8720/0;Nevus pigmentado, SAI;Nevus, SAI (C44._) Nevus melanocítico (C44._) Nevus velloso(C44._)
8720/2;Melanoma in situ;
8720/3;Melanoma maligno, SAI;(excepto melanoma juvenil, M-8770/0) Melanoma, SAI
8720/6;Melanoma maligno, SAI, metástasis;
8721/3;Melanoma nodular;
8721/6;Melanoma nodular, metástasis;
8722/0;Nevus de células en globo;
8722/3;Melanoma de células en globo;
8722/6;Melanoma de células en globo, metástasis;
8723/0;Nevus con halo;Nevus regresivo (C44._)
8723/3;Melanoma maligno en regresión;
8723/6;Melanoma maligno en regresión, metástasis;
8725/0;Neuronevus;
8726/0;Nevus magnocelular;Melanocitoma, globo ocular (C69.4) Melanocitoma, SAI
8727/0;Nevus displásico;
8728/0;Melanocitosis difusa;
8728/1;Melanocitoma meníngeo;
8728/3;Melanomatosis meníngea;
8728/6;Melanomatosis meníngea, metástasis;
8730/0;Nevus no pigmentado;Nevus acrómico (C44._)
8730/3;Melanoma amelanótico;
8730/6;Melanoma amelanótico, metástasis;
8740/0;Nevus de la unión, SAI;Nevus de unión (C44._) Nevus intraepidérmico (C44._)
8740/3;Melanoma maligno en nevus de unión;
8740/6;Melanoma maligno en nevus de unión, metástasis;
8741/2;Melanosis precancerosa, SAI;
8741/3;Melanoma maligno en melanosis precancerosa;
8741/6;Melanoma maligno en melanosis precancerosa, metástasis;
8742/2;Léntigo maligno;Peca melanótica de Hutchinson, SAI (C44._)
8742/3;Melanoma en léntigo maligno;Melanoma maligno en peca melanótica de Hutchinson (C44._) 
8742/6;Melanoma en léntigo maligno, metástasis;
8743/3;Melanoma de extensión superficial;
8743/6;Melanoma de extensión superficial, metástasis;
8744/3;Melanoma maligno lentiginoso acral;
8744/6;Melanoma maligno lentiginoso acral, metástasis;
8745/3;Melanoma desmoplásico, maligno;Melanoma desmoplásico, amelanótico (C44._) Melanoma neurotrópico, maligno (C44._) 
8745/6;Melanoma desmoplásico, maligno, metástasis;
8746/3;Melanoma lentiginoso de mucosa;
8746/6;Melanoma lentiginoso de mucosa, metástasis;
8750/0;Nevus intradérmico;Nevus dérmico (C44._)
8760/0;Nevus compuesto;Nevus dérmico y epidérmico (C44._)
8761/0;Nevus congénito pequeño;
8761/1;Nevus pigmentado gigante, SAI;Nevus congénito intermedio y gigante (C44._)
8761/3;Melanoma maligno en nevus pigmentado gigante;Melanoma maligno en nevus melanocítico congénito (C44._)
8761/6;Melanoma maligno en nevus pigmentado gigante, metástasis;
8762/1;Lesión dérmica proliferativa en nevus congénito;
8770/0;Nevus de células epitelioides y fusiformes;Melanoma juvenil (C44._) Nevus de Spitz (C44._) Nevus juvenil (C44._) Nevus de células fusiformes pigmentadas de Reed (C44._)
8770/3;Melanoma mixto de células epitelioides y fusiformes;
8770/6;Melanoma mixto de células epitelioides y fusiformes, metástasis;
8771/0;Nevus de células epitelioides;
8771/3;Melanoma de células epitelioides;
8771/6;Melanoma de células epitelioides, metástasis;
8772/0;Nevus fusocelular, SAI;
8772/3;Melanoma fusocelular, SAI;
8772/6;Melanoma fusocelular, SAI, metástasis;
8773/3;Melanoma de células fusiformes, tipo A;
8773/6;Melanoma de células fusiformes, tipo A, metástasis;
8774/3;Melanoma de células fusiformes, tipo B;
8774/6;Melanoma de células fusiformes, tipo B, metástasis;
8780/0;Nevus azul, SAI;Nevus azul de Jadassohn (C44._)
8780/3;Nevus azul maligno;
8780/6;Nevus azul maligno, metástasis;
8790/0;Nevus azul celular;
8800/0;Tumor benigno de tejidos blandos;
8800/3;Sarcoma, SAI;Tumor mesenquimatoso, maligno Sarcoma del tejido blando Tumor del tejido blando, maligno
8800/6;Sarcoma, SAI, metástasis;
8800/9;Sarcomatosis, SAI;
8801/3;Sarcoma fusocelular, SAI;
8801/6;Sarcoma fusocelular, SAI, metástasis;
8802/3;Sarcoma de células gigantes;(excepto de hueso, M-9250/3) Sarcoma de células pleomórficas
8802/6;Sarcoma de células gigantes, metástasis;
8803/3;Sarcoma de células pequeñas;Sarcoma de células redondas
8803/6;Sarcoma de células pequeñas, metástasis;
8804/3;Sarcoma epitelioide;Sarcoma de células epitelioides
8804/6;Sarcoma epitelioide, metástasis;
8805/3;Sarcoma indiferenciado;
8805/6;Sarcoma indiferenciado, metástasis;
8806/3;Tumor desmoplásico de células redondas pequeñas;
